lugt;prix;monture;vocvalorisat;palaisete;datation;biblio;vocasiatique;pedigree;chine;japon;inconnu;porcelaine;bronze;cloisonne;estampe;laque;ancien;nbcaracteres;annee
23338;176;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;113;1857
23338;180;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;76;1857
23338;180;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;85;1857
23338;180;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;82;1857
23338;180;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;124;1857
23338;180;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;128;1857
23338;181;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;144;1857
23338;185;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;64;1857
23338;190;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;95;1857
23338;190;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;108;1857
23338;190;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;57;1857
23338;190;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;111;1857
23338;191;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;125;1857
23338;195;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;63;1857
23338;195;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;93;1857
23338;199;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;55;1857
23338;200;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;89;1857
23338;200;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;110;1857
23338;200;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;64;1857
23338;200;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;71;1857
23338;200;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;140;1857
23338;200;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;73;1857
23338;200;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;92;1857
23338;202;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;104;1857
23338;202;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;144;1857
23338;205;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;118;1857
23338;205;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;68;1857
23338;210;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;242;1857
23338;211;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;74;1857
23338;213;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;70;1857
23338;220;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;64;1857
23338;220;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;47;1857
23338;220;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;59;1857
23338;220;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;72;1857
23338;220;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;99;1857
23338;222;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;64;1857
23338;225;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;139;1857
23338;234;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;115;1857
23338;250;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;87;1857
23338;250;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;165;1857
23338;250;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;133;1857
23338;252;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;80;1857
23338;255;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;103;1857
23338;255;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;99;1857
23338;255;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;65;1857
23338;255;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;86;1857
23338;260;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;81;1857
23338;260;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;98;1857
23338;262;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;102;1857
