identifiant;titre
51;Les Réservoirs (Andernos)
52;Lisière de la forêt (Andernos)
53;Vieille rue à Vence (Alpes-Mar.)
830;Portrait
831;Vieilles prisons (Annecy)
832;Pont Morens (Annecy)
833;Lac du Bourget (Savoie)
834;Rochers de Vallières
835;Port de Royan
1364;Tourrettes-sur-Loup (Alpes-Maritimes)
1365;Eglise Saint-Pierre (Royan)
1366;Portrait
2114;Vieille maison St-Macaire
2115;Place Dieu, St-Macaire
2116;Portrait
2117;Vieille rue, St-Macaire
2722;Vieille bordelaise
2723;Portrait
2724;Rue du Port (St-Macaire)
2725;Vieille maison (St-Macaire)
3421;Portrait
3422;Place-Dieu. St-Macaire
3423;Passage de la Cale. St-Macaire
3424;Paysage
4118;Portrait
4119;Eglise de St-Macaire
4120;Eglise de Vaux-sur-Mer
4121;Eglise de St-Palais
4122;St-Macaire
4123;1 Etude Andernos
4124;1 Etude Environs de Tardots (B. P.)
4125;4 Etudes Maurs (Cantal)
4126;1 Etude Le Lot à Port d'Agres
1367;Château de Loches (Indre-et-Loire)
1368;Versailles, Grand-Trianon
4749;Maison de Pierre Loti à Hendaye
4750;Ciboure le Port
4751;Villa Basque
4752;Terrasse à Biriatou
5281;Paysage
54;Nature morte
55;Fleurs
56;Dessins à la plume
642;Coq
643;Deux poules
1369;Fleurs. Tournesols
1370;Fleurs. Dahlias
1371;Fleurs. Dahlias
1372;Fleurs. Dahlias
1373;Paysage
1374;Dessin encre de Chine
1375;Tentation de saint Antoine
1376;Premier âge
1377;Jugement dernier
2118;Dessin plume
2119;Dessin plume
2120;Dessin plume
3425;Trois aquarelles, l'une 300 fr
4127;5 aquarelles (chaque)
2121;Les amours
2122;[sans titre]
7418;Une rue à Salies-de-Béarn
1963;Sport et Machine
2123;Composition
2124;Composition
3426;Portrait d M. G. B.
3427;Portrait de Mme D. B.
8381;Le bœuf jaune
8754;La Teste (près du port)
8938;Les saintes femmes
9096;La mise au tombeau
9246;Christ en croix
9388;L'aiguillon avant l'orage
9389;Arcachon
9390;Arcachon, le port
9575;Ferme landaise
9576;Aquarelle
9718;Filets (La Teste)
9719;Fouillis du port (La teste)
7285;"Esquisse pour une fresque ""Le Pin"""
7286;Femme au café
7287;Catherine
7704;Portrait de Mme L. de L…
7705;Le Pelotari
7706;Jeune fille basque
7707;La place du village
8045;Composition décorative sur un thème antique
8046;Portrait de Madame D…
8047;Portrait de Madame F…
8048;Le vieux pichet
4128;Le Moulin d'Angibault
4129;Le vieil Annecy
4130;En flânant sur les bords de l'Isle
5970;L'Adieu
5971;La Rencontre
5972;La Vierge de Nuremberg
5973;L'Auberge bretonne
5974;La Chasse au faucon
5975;Le jardin espagnol
8939;Paysage
9097;Mon jardin
57;Ma Maison
58;"Silence ; intérieur"
59;"La route du ""Caporue"""
60;Friture de soleil
61;Lisière
62;La rue du port
63;Intérieur
64;Paysage
836;Après-midi d'été
837;Le pont coupé (Preignac)
838;Le vieux puits (Preignac)
839;La maison d'Ulysse (Auros)
840;Le château Trompette (Preignac)
841;Paysage
842;Paysage
1378;La dame en blanc
1379;Nature morte
1380;Nature morte
1381;Nature morte
1382;Ascain. Temps gris
1383;La calle del Sol. Santander
1384;La calle Pampinot. Fontarabie
1385;Une rue de Santander
1386;Un sardinier. Ciboure
1387;Une rue. Ciboure
2125;Peinture (Sollicitude)
2126;La femme au fauteuil
2127;La route de Pauze (paysage)
2128;Les toits (paysage)
2129;L'eau calme (paysage)
2130;Tache noire (paysage)
2131;La table de cuisine (nature morte)
2132;Nature morte
2133;Nature morte
2726;Les arbres jaunes
2727;L'Envol à Preignac
2728;La route
2729;Maisons à Preignac
2730;Sauternes
2731;Le Citron à La Trave
2732;Nature morte
2733;Une femme (peinture)
3428;La robe blnche
3429;Paysage
3430;L'enclos au soleil
3431;Canterane avant la grêle
3432;La Garde Roland. Pluie
3433;Nature morte (Les Hortensias)
3434;L'urne et les fleurs (nature morte)
3435;Paysage
4131;Paysage
4132;Nature morte
4133;Nature morte
4134;Composition
4135;Figure
4136;Paysage
4753;La forêt bleue
4754;Le cimetière de St-Clair (pluie)
4755;L'arbre mort
4756;Mon village
4757;Le passage à niveau
4758;Automne (nature morte)
5395;La pomme verte
5396;Des arbres et des voiles
5397;Tristesse
5398;Maisons en Béarn
5399;Près de Béarn
5400;… qui vont sur l'eau
5401;La route rose
5976;Un jardin et trois sœurs
5977;L'Yvette à Chevreuse
5978;Les vaux de Cernay
5979;Les meules à Gif
5980;L'arbre blanc (Ile de France)
5981;A Floirac après la pluie
6496;Camping
6497;Embellie sur la banlieue
6498;Soirée à La Tresne
6499;De l'herbe et des arbres
6500;Femme dans la vallée
6501;Les parasols
7164;La gitane aux bouquets
7165;Visage (Fusain)
7166;Soirée (Fusain)
7598;La Terrasse
7971;Le charmeur d'oiseaux
8229;Composition
8230;Paysage de Marcilhac
8231;Le Causse avant l'orage
8428;Dormeuse
8510;La Couturière se repose (composition)
8653;Automne (nature morte)
8870;La femme à la voilette
8970;Peinture
8971;Peinture
9247;Paysage
9248;Paysage
9391;Les Ecureuils morts
9392;Paysage
9577;Peinture
9578;Peinture
9720;Peinture
9721;Peinture
7419;Jeune homme au cornet
7702;Portrait de M. Germain le Martiniquais
7703;Paysage de Génac
7972;Anges musiciens
7973;Une cause, deux effets, une réaction
1388;Les pêcheurs
1389;La carrière de Toulenne
1390;Les baigneuses
1391;Le Capcir
1392;Mon portrait
1393;La douleur
1394;Le château de Langoiran
1395;Le port de Langon
1396;Saint-Macaire
1397;La ferme de Callivet
1398;Nu
5402;La Garonne à Bordeaux
5403;Paysage en Lot-et-Garonne
5404;Le pont de Nérac
5405;Sainte-Abondance (village)
5982;Clocher de Marmande
5983;Pont de Marmande
5984;Eglise de Beyssac
5985;Route de la Filliole
5986;Prairies
6502;Clocher de Marmande
6503;Cloître de Marmande
6504;Thivras
6505;Villefranche-sur-Mer
7974;Clocher de Saint-Pardoux
7975;Fruits
8512;Paysage
8654;Roses rouges
8655;Le Jardin du chef de gare
8656;Camelinas
8871;Les bords du Trec
8972;Le jardin public
9249;Le Port de Bordeaux
9250;Bord de Garonne
