identifiant;titre
2027;Le sommeil
2425;Composition
2426;Composition
1729;Composition imaginative
1730;Composition imaginative
1731;Tableau mosaïque
2028;Les partisans
6189;Composition
6190;Composition
6723;Composition
6724;Relief, Composition (Lino coloré)
737;Cervantes, Don Quichotte, ill par Gus Bofa (Cadre)
738;Pierre Mac Orlan, La danse macabre, ill par Yan Bernard Dyl (cadre)
739;France : Le Lys rouge, vernis mous de Omer Bouchery (cadre)
740;France : La rotisserie de la reine Pedauque, aquar de Guy de Montabel (cadre)
741;Henri de Régnier : Le miracle du fil, ill par Yan Bernard Dyl (cadre)
742;Wilde : De profundis, ornementé par Latour (Cadre)
743;Chaumet : Bêtes et C°, eaux-fortes de Foujita (cadre)
744;Huysmans : A Rebours, eaux-fortes en couleurs de Coussens (cadre)
4436;Jacqueline et les valets
4437;Le Forgeron
7829;Portrait
7830;Gabarres à Bordeaux
7831;Paysage (Bois)
8176;Le Vieux-Marché (St-Macaire)
8177;Bouquet champêtre
8781;Gravure
9115;Portrait
3787;Orage
3788;Soir d'hiver
3789;Printemps
3790;Tempête d'hiver
6725;Lacanau-Océan : Les tentes
6726;Lacanau-Océan : La plage
6727;Lacanau-Océan : Dans les dunes
6728;Lacanau-Océan : Dune en bordure de mer
2443;Croûte
2444;Croûte
6793;Un petit paysage de Hollande
6794;Vers le moulin
7654;Le Port de Saint-Jean-de-Luz
7655;Ascain. Pays Basque
7656;Olliergues. Auvergne
8466;Les quais de la Gironde à Bordeaux
8467;Les quais de la Seine à Paris
3791;Le square
3792;Fleurs et guitare
3793;La bâche
5006;Le Jardin
5007;Le marguerites
3014;Royan-Vallières
3015;Sous-bois, à Vallières
3016;Eglise de Bidart
3017;Le chemin de la corniche à Nauzan
3018;La rue des Arceaux, à Antibes
4438;Vue de Menton. Cap Martin
4439;Moulin des 4 tours d'Henry IV, Barbaste
5865;Agonie du Christ (étain)
5866;Le Christ-Roi (cuivre)
5867;Vierge (cuivre)
5868;Plaisir Champêtre (étain)
5869;Danseuses antiques (étain)
5870;Plat décoratif (sujets poissons modernes) (étain)
1998;Le ruisseau sous bois
1999;Ferme dans les marais
7832;Etude. La retraite du maraîcher à Eysines (Gironde)
1045;Paysage
1046;Paysage
4440;Paysage
4441;Paysage
4442;Paysage
4443;Paysage
4444;Pont de Bordeaux
4445;Les Pyrénées à Oléron
4446;Après-Midi sur Paris
4447;Peinture
8635;La Brume amère (Trafalgar-Square)
377;Peintures
1047;Panneau décoratif
1048;Musique crépusclaire
1049;Etude, paysage
1050;Etude, paysage
1051;Etude, paysage
1052;Etude, paysage
378;Portrait de M. L…
379;Sur la plage
380;"Dans les bois ; La leçon de musique"
381;Les Chalutiers
382;Eglise de Pavans
1053;Les trois arbres
1054;Coupe en forêt
6729;Le Pouldu : Plage de la Création
6730;Le Pouldu : Le tombeau d'Achlle, plage, Finistère
6731;La vallée de Samoènes, Haute-Savoie
6732;Saint-Michel, Bordeaux
6733;Campagne ruthénoise
6191;Portrait de ma sœur
1055;Lisière du parc, hiver
1056;Le pont de Castillon
1057;Le soir au bord de l'Isle
1058;Les abords du moulin
1059;Arbres fleuris en Libournais
1060;Coin de mare, hiver
1061;Bords d'étang
1062;Château de Sales
1063;L'Eglise de Saint-Emilion (Sépia)
1064;Cloître des Cordeliers, à Saint-Emilion (sépia)
1065;La Dordogne, à Libourne
1066;Vieux moulin sur la Laye
1067;Le logis de Mallet, à Saint-Emilion
1068;Lisière de bois, hiver
1069;Carrières et remparts de Saint-Emilion
1070;La Commanderie à Saint-Emilion
1733;La rose aux épines
4448;Retour de pêche
5008;Paysages Poissy (S.-et-O.)
5009;Bouleaux près de Maisons
5010;Rue de Celleneuve près Montpellier
2427;Nature morte à la tortue
5011;Portrait
5012;Roses blanches
1732;Nature morte
3019;Portrait
3020;Portrait
3021;Fleurs
3794;Une espagnole
3795;Portrait
3796;Paysage
3797;Paysage
3798;Paysage
8404;Nature morte
9378;Nature morte aux assiettes
5013;Intérieur d'Eglise
5014;Roses
5015;Bouquet de fleurs
5016;Capucines
8400;La nappe rayée
3022;Pastel express inaltérable (avec cadre)
3023;Pastel à la cire, sans cadre
9308;Paysage
2428;Nu
2429;Croquis
2430;Paysage (Amiens)
2431;Paysage (Amiens)
2432;Paysage (Amiens)
2433;Paysage (Amiens)
3024;Etude d'homme
3025;Etude de femme
3026;Etude (portrait)
3027;Paysage (Amiens)
3028;Vieille rue (Amiens)
3029;Vieille rue (Amiens)
3030;Etude (Saint-Jean-de-Luz)
3031;Etude (Amiens)
3032;Etude (Sarlat)
3033;Etude (Sarlat)
3034;Etude (Sarlat)
3035;Etude
3036;Deux dessins, 500 fr l'un
3037;Deux dessins, 500 fr l'un
3799;Nu
3800;Place de la Liberté, Sarlat
3801;Portrait jeune fille
3802;Portrait
3803;Etude paysage
3804;Etude paysage
3805;Etude paysage
3806;Etude paysage
3807;Etude paysage
3808;Etude paysage
4449;Intérieur
4450;Marché à réderies Amiens
4451;Jeune fille grecque
4452;Jeune fille au corsage bleu
4453;Nature morte
4454;Etude
4455;Etude
4456;Etude
4457;Etude
5017;Jeune fille
5018;Nu
5019;Etude
5020;Nu
5021;Etude
5632;Maternité
5633;Nu (Etude)
5634;Paysage (Somme)
5635;Paysage (Somme)
5636;Paysage
5637;Paysage
5638;Paysage
6192;Etude Nérac (Lot-et-Garonne)
6193;Etude Montjaux (Aveyron)
6194;Paysage Vivonne (Vienne)
6195;Paysage Vivonne (Vienne)
6196;Paysage Vivonne (Vienne)
6197;Paysage Vivonne (Vienne)
6198;Etude
6734;Paysage, Cahors
6735;Paysage, Cahors
6736;Paysage, Cahors
6737;Pont Valentré, Cahors
6738;Paysage, Cahors
6739;Paysage
7358;Nu
7359;Devant la glace
7360;Eglise de Gotheun (Basses-Pyrénées)
7361;Lavandières sur les bords de la Garonne
7362;Quais de Paris
7744;Etude
7745;Nature morte
7746;Etue
7747;Nu
7748;Etude
8073;Le petit chien
8074;Nature morte
8075;"""La cuisine"""
1734;Vieille maison périgourdine
1735;Paysage
1736;Paysage
1737;Nature morte
2434;Paysage sarladais
2435;Paysage sarladais
2436;Etude de nu
2437;Vieilles maisons
3038;Etude de nu
3039;Nu au fauteuil
3040;Un coin de Lalinde (Dordogne)
3041;La rue Barry à Sarlat
3042;La rue des Armes à Sarlat
3043;A la Benauge
3044;Portrait
3809;Femme au béret rouge
3810;Laveuses
3811;Nature morte
3812;Maisons à Lalinde (Dordogne)
3813;Badefols (Dordogne)
3814;Maisons à Couze (Dordogne)
3815;Jeune fille
3816;Grand Castan (Dordogne)
3817;Léa
4458;La robe rouge
4459;Etude
4460;Etude
5022;Sur la côte
5023;Sauveboeuf
5024;Pluie
5025;Paysage
5026;Paysage
5639;Nu
5640;Peinture
5641;Paysage
5642;Paysage
5643;Paysage
5644;Peinture
6199;Peinture
6200;Paysage
6201;Paysage
6202;Peinture
6740;Paysage de Dordogne
6741;Paysage de Dordogne
6742;Paysage
6743;Paysage
6744;Paysage
6745;Paysage
4461;Nocturnes
4462;L'effort (masque)
4732;Etudes de mobilier (3 planches)
383;Chats
384;Nature morte : jambon
385;Nature morte : asperges
6746;La Maurienne
6747;Labour en Maurienne
6748;Nuages en Maurienne
6749;Croix en Savoie
6750;St-Georges-de-Luzençon
6751;Rodelle, Aveyron
6752;Vue de Luzençon
7222;Buste d'homme (Sculpture)
7223;Jeune fille (Plâtre)
7224;Dessin
7225;Dessin
1071;Paysage
1072;Fleurs
745;J. et J. Tharaud : La randonnée de Samba Diouf, pointes sèches orig de Lucien Madrath (livre)
746;Ch. Mauras : Anthinea, bois coul et noir de R. Renefer (livre)
747;Abel Hermant : Bigarrure, eaux-fortes orig de Louis Icart (livre)
748;Anatole France : L'ile des pingouins, pointes sèches et bois en couleurs de Jou (livre)
3823;Nature morte
3824;Nature morte
4463;Paysage d'automne dans le Bazadais
5027;Clair de Lune en forêt
5028;Nature morte
5645;Sous-bois (Parc du Château Nice)
5646;Bazas-Souvenir d'été
6203;Sous-bois, le matin
6204;Paysage, effet de soleil
6753;Matinée d'automne
6754;Vieille grange, effet de soleil
386;Dessins
1073;Peinture
1074;Peinture
1075;"""Fête foraine"", lithographie spécialement éditée par les ""I.B."""
1325;Trois sculptures
1743;Dock
1744;Promenade
1745;Dimanche
1746;Paysage
1943;100 mètres
1944;Le débardeur
387;Tête d'annamite
388;Uhaque
389;Etude
390;Dessins
391;Un homme
1076;Paysanne annamite
1077;Tête de femme
1078;Etude de nu
1079;Barques annamites
1738;Dessin
1739;Etude de nu
1740;Jack
1741;Un homme
1742;Un homme
2438;Etude
2439;Dessin
2440;Croquis
2441;Tête
2442;Croquis
3045;Mon Jack
3046;Un gosse
3047;Les piments
3048;Un œuf à la coque
3049;Dessin aquarellé
3050;Paysage (pochade)
3051;Une femme
3052;Dessin au pinceau
3053;Dessin au pinceau
3818;Nu couché
3819;Un petit enfant
3820;Le chat
3821;Femme assise
3822;Femme debout
4464;Fauteuil de paille
4465;Le bouquet rond
4466;Intérieur
4467;Panneau décoratif
5647;Panneau décoratif
5648;Portrait
6205;Petite fille
6206;Enfant
6207;Nu
6208;Paysage
6209;Le Pigeonnier
6210;Paysage
6755;Nu assis
6756;Jeune fille
8004;Enfant
8005;Fleurs
8704;Paysage
8905;Fillette au parapluie
9029;Portrait de M. R.
9030;Fleurs
9773;Fleurs
5029;Gérardmer, le Lac
5030;Egise de Grez-sur-Loing
1080;Le Purgatoire des banlieues
392;L'Angélus : coucher de soleil
393;Les vieux ormes
394;Sous-bois : les cèdres
395;Nu assis
396;Désillusion
397;Portrai de Mme P…
398;Petit nu
399;Le diable dans ma maison
1081;Paysage basque
1082;Marine
1083;Cauchemar
9466;Fièvre
9467;Peinture
400;Peintures
1084;Le coin des pêcheurs à Marseille
1085;De la terrasse de l'hôtel Régina, à Marseille
1086;La Joliette et la Cathédrale de Marseille
1087;Le Portrait
1088;Nu
1747;Vue sur l'Estaque (Marseille)
1748;Sur le quai des Belges, à Marseille
1749;Le port de Villefranche
1750;Le métro de La Mothe-Picquet
1751;Le port de Saint-Jean-de-Luz
1752;Jeune fille à la fenêtre
2445;Une fille (nu couché)
2446;Une fille (nu assis)
2447;La place Mériadeck
2448;La Brigolette rose dans le port de Marseille
2449;Le port d'Orthez
2450;Le presbytère d'Yseur (B.-P.)
2451;Portrait de Mlle J. D…, avocat à la cour
2452;Le joueur de banjo
2453;Les crabes (nature morte)
2454;Les pommes (nature morte)
3054;Juan de Pasajes
3055;Le Port de S. Sebastian
3056;Le Port de S. Sebastian
3057;Le retour des chalutiers
3058;L'église de Juan de Pasajes
3059;Grand-rue à Fuenterrabia
3060;Le Pont-Neuf à Paris
3825;Fleurs
3826;Paysage (San Sebastian)
3827;Paysage (Fuenterrabia)
3828;Paysage
3829;Intérieur
5649;Port-Vieux à Biarritz
5650;Plage
5651;Coucher de soleil à Biarritz
5652;Enfant sur le sable
5653;Fête à Mériadeck
5654;La foire St-Fort
5655;Portrait
5656;Paysage
6211;Fleurs
6212;L'envers du décor
6213;La foire de Bordeaux
6214;La fête à la République
6215;Le cirque
6216;La retraite aux flambeaux
6217;Qu'il fait chaud
6218;Wood-party
6219;Nudisme
6220;A quoi bon, ça ne se vend plus
6221;"""14 juillet"""
6222;En bordée
6223;La danseuse espagnole
6224;Première communion
6757;Forêt
6758;Forêt
6759;Sur la plage de Soulac
6760;Le jardin des Tuileries
6761;"""Cavalcade"""
6762;"""Café du Commerce"""
6763;L'arrivée des sardiniers à Saint-Sébastien
6764;Rue du Ponton de Soulac
6765;Divertissement
6766;Portrait de Jacqueline L…
6767;Portrait du Docteur E…
6768;Soir sur le boulevard Brunet, à Paris
6769;Prélude à l'après-midi d'un faune
6770;La danse du feu
6771;Le Pont-Neuf à Paris
6772;Place Mériadeck
7226;L'allée
7227;Portrait de Mme D.
7228;Faunesque (Encre de Chine)
7229;Le cirque (Encre de Chine)
7230;Ecolières
7231;Ecolières
7657;Portrait de Mme D…
7658;Forêt
7659;Nature morte
7660;L'aveugle
7661;Clown triste
8006;Portrait de Mme D…
8007;Paysage
8008;Le faisan mort
8294;Le songe d'une nuit d'été
8464;Peinture
8465;Peinture
8565;Peinture
8705;La Danseuse noire
8906;Composition
9031;Le caniche rose
9309;L'homme et sa chimère
9633;Printemps
9774;Peinture
9775;Portrait
9776;L'envers de la foire
9777;L'endroit de la foire
1345;Port de Bordeaux
401;A la grande côte
402;Bords de l'Isle à Sourzac
403;Matinée au Pyla
404;Bords de l'Isle à Saint-Front
405;Bords de la Dronne à Coutras
406;Bords de la Dronne à Coutras : soir
407;Le vieux chemin de Saint-Michel
408;Bords de l'Isle à Mussidan
409;Crépuscule d'hiver dans la Double
5346;St Antoine
6773;Golfe de Porto, Corse
6774;Saint-Julien-le-Montagnier
6775;Saint-Julien-le-Montagnier
6776;Saint-Julien-le-Montagnier
6777;Vallée d'Aspe, Basses-Pyrénées
6778;Port de Saint-Martin-de-Ré, Ile de Ré
6779;Les bords de l'Isle, Dordogne
6780;Les peupliers, Dordogne
6781;Matin automnal, Gironde
6782;Bois de Soulignac, Gironde
6783;La corniche, Marseille
6784;La corniche, Marseille
6785;Bateaux au repos, Collioure
6786;Matin à Collioure
6787;Petit port au faubourg, Collioure
6788;Collioure, vue d'ensemble
6789;La plage et la tour, Collioure
6790;Sous-bois à Pessac
6791;Sous les chênes-lièges, Collioure
6792;Contre-jour à Pessac
8178;Taussat. Le port
8179;Automne. Chemin à Gradignan
8180;Nature morte
8181;Paysage
7120;Le pot de confiture
7121;Les peupliers en automne
4468;Foire St-Fort
4469;Reflets dans l'eau (Monpont)
4470;Le remorqueur (Bordeaux)
4471;L'étude en vacance
4472;Les peupliers
4473;Vieille rue
5031;La Parade
5032;La lettre
5033;Les deux penseurs
5034;La rue
1753;Le rideau
1754;Deux femmes dans un patio
2455;Petite fille en rose
2456;Le port de Saint-Tropez
3061;Barques et bateaux à Saint-Tropez
3062;Femme assise
2004;Les enfants du château
2005;Jeune femme au chien
5035;Femme endormie
4479;Le samedi
4480;La Cène
4481;Nature morte
4482;La Baignade
5036;Hommage à J.-S. Bach
5037;Paysage
5343;Lennos
410;La chaisière
411;Le Restaurant des Bons Amis
412;Le porche de l'église de Beautiran
413;Le grand lit
414;Le Pont Valentré à Cahors
415;Le Chabrol
416;Le clocher de Saint-Sever
417;La Crèche
418;La Vierge noire
419;Le discours de Bordeaux
420;Marguerite à l'église
421;Intérieur basque
1089;Dans le port de La Rochelle
1090;"Au coin du feu ; Périgord"
1091;Le Chabrol
1092;La Vierge éclairée
1093;Au pays basque
3063;L'église de Feneyrols
3064;Baigneuses
3065;Autrefois
5038;Orange (France). Nouvelles fouilles sur l'empl. du cirque
5039;Vallombrosa (Italie) Neige
5040;La Seine à Paris
5041;La Seine à Paris
5042;La Seine à Paris
5043;La Seine à Paris
5044;La Seine à Paris
5045;La Seine à Paris
5046;La Seine à Paris
5048;Bords de Canal
5049;Basilique de Soulac (intér.)
5050;Pins au soleil
5051;Porche de la cathédrale d'Albi
5052;Ciboure. Le Port
5053;Montauban. Place Nationale
5054;Albi, Le Pont Vieux
5055;Vannes, La Porte Prison
5056;Périgueux, Le Marché
7944;Stalag XII A
7945;Baraque de prisonniers
7946;Géraniums
7947;Pivoines
5058;Petit marchand de sardines
5059;Moulin à Damme
7232;Rue à Cambrai
7233;Garage de Péniches
3066;Nu femme rousse
3067;Lilas et poisson de faïence
3068;Chaumières, ciel bleu
3069;Nature morte à la bougie
749;Louis Pergaud : La revanche du corbeau, ill de Roger Reboussin (livre)
750;Provence : Poèmes de Suares, gravures de Achener, Cheffer et Jou (livre)
751;Quatre enseignes de Paris, eaux-fortes de J.-J. Dufour (livre)
752;J. et J. Tharaud : Corps sans âme (Châteaux du Périgord), lithogr de Lucien de Maleville (livre)
753;R.-S. Surtees : La tournée sportive de M. Sponge, croquis et aquar. de Harry Eliott (livre
754;Comte René de Martinprey : Contes de Venerie, ill de Karl Reille (livre)
755;Tristan Bernard, Le cercle enchanté, dessin en couleurs de Ch. Genty (livre)
4474;Jeune fille au balcon
7662;Groupe volant
7663;Mère et enfant
7664;Jeune fille
7665;Portrait
7666;Paysage
7667;Paysage
8406;Composition
8407;Nature morte
2462;La maison blanche (Ile d'Yeu)
2463;Les champs (Ile d'Yeu)
2464;Devant la porte (Ile d'Yeu)
2465;L'usine (île d'Yeu)
5057;Nu couché
2032;Alexandre Blok (portait-bois)
8399;Femme à la bougie
8624;Lever de soleil à Houdonville
5936;Paysage
5937;Bateau
5662;Cassandre
5663;Migration
5664;Alexandre
5665;Icarienne
5062;Composition
5063;Les bouteilles
4483;Nature morte aux tulipe
4484;Jeune femme au bouquet
4485;Jeune femme à la guitare
5938;Peinture
7833;La Rochelle. Soir
7834;Vers le large. La Rochelle
6225;Marée basse (St-Malo)
6226;Petit-Port de St-Servan
6227;Embouchure de la Rance à St-Servan
6228;Vue sur St-Malo de Dinard
6795;Bacalan
6796;Le port de Bordeaux sous la neige
6797;La cheminée bleue
6798;Les Quinconces
7234;La fenêtre ouverte
7235;La place St-Marc (Venise)
7236;Tulipes
7237;Fleurs
7238;Bouquet
7239;Fleurs dans un verre
7668;Fleurs
7669;Portrait
7670;Portrait
8009;Violettes et mimosas
8010;Fleurs
8403;Sensibles inanimés
8833;Composition
8834;Composition
7835;Ferme  Mortagne-sur-Sèvres
7836;Maison à Saint-Lazare (Vendée)
5287;Pêcheur
3830;Nu
3831;La liseuse
3832;Paysage (Bernille, Gironde)
4486;Femme assise
4487;Femme assise
4488;Femme assise
4489;Bord de Garonne (Baurech)
4490;Dans le port de La Rochelle
4491;La coupe de fruits
4492;Paysage à Port de Penne (Lot)
4493;Paysage à Moron (Gironde)
4494;Les granges à Rignaz (Corrèze)
7363;L'écluse sur la Dordogne
7364;L'église Saint-Gervais. Paris
7365;Une rue à Rouen
7366;Mer de Bretagne (Douarnenez)
7367;Place de village en Corrèze
7368;La route à Ludon (Médoc)
7369;Neige près Paris (Gravure)
7370;Neige en Seine-et-Oise (Gravure)
7749;La route de la carrière. Floirac (Gironde)
7750;Paysage à Croizies (Corrèze)
7751;Moulin à Caupian (Gironde)
7752;Paysage à Baignaux (Gironde)
1964;Lithographie
2457;Clocher de Notre-Dame de Bourisp
2458;Vielle-Aure
2459;Paysage de montagne
2460;Pastel
2461;Divers croquis en un cadre
8861;Chein
2000;Lac du bois de Boulogne
2001;Versailles
1094;Paysage
1095;Figure
3833;Le Tir
3834;La foire à Neuilly
3835;Paysage baroque
3836;Rugby
3837;Nu
3838;Nu
4475;Sous bois avec Léda
4476;Figure accoudée
4477;Paysage
4478;Paysage
5069;Femme en jaune
5070;Venise
5345;Course de Side-Cars
5905;L'escalier
5906;Venise
5907;Paysage de Banlieue
5908;Paysage à Piquey
5909;Paysage à Piquey
6803;Peinture
6804;Peinture
6805;Peinture
8401;Paysage
8636;Paysage (dessins ayant servi d'étude)
8637;Peinture
8782;Bassin à flot (1948)
8783;Bassin à flot (1948)
8784;Un sous-bois (1946)
8785;Un rythmé (1947)
8786;Paysage de la Drôme (étude directe 1933)
8787;Hommage à Watteau (1918)
8788;Un couché (gouache 1946)
8789;Nature morte (gouache 1946)
8790;Nu assis (1936)
8791;Composition
8966;Le Port de mon enfance
8967;Gouache
8968;Gouache
9243;Nu
9244;Paysage
9384;Peinture
9385;Peinture
9573;Les pins autour du moulin (1947)
9574;L'herbe (bassin d'Arcachon) (1948)
9716;Bois de pins
9717;Cargo hollandais peint sous le mistral
3839;Paysage
3840;Allégorie (esquisse pour une décoration)
1096;Nature morte
1097;Preignac : bateaux
1098;Toulenne : Pins
1099;Toulenne : A la carrière
1100;Ce que je vois de ma fenêtre
1101;Après-midi d'hiver
1102;Coin favori
1103;Mimizan : bords du cournt
1104;Mimizan : pins
1105;Toulenne : l'église
1106;Tryptique
1107;Langon : une ferme aux chênes
1108;Langon : ferme
1109;Fargues : le donjon du château
1110;Langon : l'église
1111;Toulenne : ferme
1112;Toulenne : ferme
1113;Toulenne : ferme
1755;Une ferme à Toulenne
1756;Un nid preignacais
1757;Cour de ferme
1758;La mer à Mimizan
1759;Langon, aux Chênes
1760;Toulenne : le solitaire
1761;Eglise de Mimizan (bourg)
1762;Dessins rehaussés
2466;Saint Macaire : Vieille maison
2467;Saint-Macaire : Le vieux moulin
2468;Saint-Macaire : La porte du port
2469;Saint-Macaire : L'église
2470;Langon : Usine
2471;Perspectives langonnaises
2472;Perspectives langonnaises
2473;Perspectives langonnaises
2474;Saint-Macaire : La place aux arcades
2475;Toulenne : La Gravère
2476;Langon, rue des quais
2477;Coin de table
2478;Près du viaduc
2479;Coin langonnais
2480;Coin langonnais
2481;Projets de couverture de livre
7837;Notre-Dame de Paris
7838;Port-Sainte-Marie
7839;Notre-Dame de Paris
7840;Environs de La Tresne
7841;Portrait
7842;Portrait
7843;Portrait
8011;"Les ""Visages tristes"""
8012;Bords du lac
8013;Sur les bords de la Loire
8298;Chemin en automne
8299;La maison dans la forêt
8300;La passerelle des onze portes
8301;Verdure
8302;La cabane du gardien
8303;Dunes du Pyla
8468;Paysage
8706;Baigneuses
9032;La nuit d'été
9310;L'envol
9468;Epaves
9636;Odalisque
9778;Nu
5067;La grande Route
5068;Fillette aux nattes
5673;Fleurs
5674;Boulevard Arago (Paris)
6229;Enfants sur la Plage
6230;Village
6806;La dune du Pyla
6807;Le carton de chez Baumann
9853;Portrait
6808;La ferme isolée
6809;Portrait d Madame P. M.
5344;Le Hussard
8402;La table verte
5288;Palais Vénitien
1945;Composition (bronze)
8647;Nature morte au papillon
7122;Le Pyla-Moulleau
7123;Trois-mâts
7124;Arcachon
7125;La colonnade blanche
7126;Valcabrère
7127;Hongrie (Huile)
7128;Maroc
7129;Moulleau-Arcachon
7130;Tunisie
7131;Bretagne
7132;La vasque
7133;Belgique
7134;Bruges
7135;Le rhinocéros
7136;Arcachon
7588;Saint-Macaire
7589;Les nénuphars
7590;La maisonnette aux roses
7591;Porte marocaine
7592;Les Oudaïas (Maroc)
7593;Cavaliers marocains
7948;Monaco
7949;Le cyprès
7950;Arles
7951;Pyrénées
7952;La Mosquée
7953;Italie
7954;La Vasque
7955;Les roses blanches
8405;Composition
8567;Simone (portrait)
8953;La chasse
8954;La brouette
8955;La chasse
8956;Le port de Londres
8957;Le restaurant
8958;Le mannequin
8959;Esquisse de la chasse aux fauves
8960;Peinture
8961;Peinture
8962;Peinture
8963;Peinture
9116;La Gujannaise
9117;Le Gueux
9311;L'accordéoniste
4495;La moisson
4496;Les quais blancs
7371;Buste de femme (Sculpture plâtre patiné terre cuite)
7753;L'Age d'or (Bas-relief)
2482;La veille des élections
2483;Paysage
2484;Jeune femme en rouge
2485;Nu
3841;L'Azalée
3842;Nature morte de style baroque
5071;Promenade des Anglais
5072;La Reine
5347;Intérieur
5073;Paysage
5074;Paysage
5075;Paysage
5076;Paysage
5077;Portrait
5078;Paysage, le bourg d'Uzeste à l'aube
5675;La Maternelle
5676;La Place Pradeau
5677;Les Saules
5678;Paysage
5679;Eglise St-Marcel-de-Beychac
5680;Portrait
6231;Portrait
6232;Paysage
6233;Paysage
6234;Paysage
6235;Paysage
6810;Paysage
6811;Le moulin
6812;Portrait
6813;Nu
6814;Peinture
7240;Nature morte
7241;Neige
7242;Paysage
7243;Portrait
7244;Paysage
7245;Le rêve
7246;Mimi (Lavis)
7247;Le monastère
7248;Les deux jeunes filles
7249;Paysage
7250;Paysage
7251;Le Basque
7252;Nu
7253;Nu
7254;Nu
7674;Paysage d'hiver
7675;Paysage. Journée sombre
8014;Nature morte au chapeau
8304;Nature morte au cor de chasse
8305;Nature morte
8469;Paysage
8470;Nature morte
8566;Composition
8707;Peinture
8907;Docks
9033;Les Rois mages
9312;Peinture
9469;Le chaland noir
9470;Le remorqueur
9637;Marée basse
9638;Ouragan
9779;Marine
9780;Canards
3843;Enfant aux raisins
3844;Villa en été
3845;Village au printemps
3846;L'église de mon village
5079;Poupée et l'enfant
5080;Paysage de Montsoult
1114;Fleurs (Pochade)
1115;Pommes
1116;Nature morte
1117;Bouquet
1763;Nature morte
1764;Fleurs
1765;Etude de nu
1766;Femme étendue (étude)
1767;Paysage
1768;Paysage
1769;Gerbes d'or
2486;Nature morte
2487;Paysage
2488;Portrait
2489;Le marais
2490;Peuplier (pochade)
2491;Académie
2492;Nu
5081;Portrait
2493;Ile grecque
8425;"""L'armoire d'Orphée"""
1118;Nature morte
1119;Montalivet-sur-Mer (Gironde)
1120;La dune
1121;La forêt
1122;La mer
3070;Le Vivier. Biscarrosse-Plage
3071;Maisons dans la dune. Biscarrosse
3072;Nature morte
3073;Maison ensablée. Biscarrosse-Plage
3074;Deux aquarelles zinnias, chaque 120 fr
7844;Les Roses
7845;Golfe Juan
7846;Visage basque
8182;Après minuit
8183;Roses
3075;Enfant de cirque
3076;La ronde
1770;Vieilles rues à Nérac
1771;Nature morte
1772;Vieilles rues à Francescas
3077;Peupliers en Lot-et-Garonne
3078;Paysage en Castille
3079;Nature morte
3080;Pivoines
3081;Roses
4068;Renoncule et narcisses
4069;Roses et tulipes
4497;Entrée au village
4498;Paysage
4499;Automne
4500;Printemps
4501;Eté
4502;Fleurs
5082;Paysage
5083;Ormaïztegui
5084;Jardin
5085;Les deux ponts
5086;Nature Morte I
5087;Nature Morte II
5088;Paysage
5089;Peinture
5681;Paysage
5682;Paysage
5683;Fleurs
6236;Entrée du Codéré
6237;La Baïse
6238;Vue du Petit-Nérac
6239;La rue Pusoque
6240;Portail du Codéré
6815;Paysage
6816;Métairie de Lassagne
6817;La Baïse
6818;Hôtel des Trois Marnes, Bourbon-L'Archambaud
6819;Paysage à Bourbon-L'Archambaud
6820;Pigeonnier, à Bourbon
6821;Vieille rue à Nérac (Lot-et-Garonne)
1123;L'oiseau mort
1124;Le palais désert
8306;Bouquet
8307;Peinture
8308;Paysage
8471;Nature morte au pot blanc
8472;Ma fille
8568;Nature morte à la cafetière
8708;Etude de jaunes
8709;La ferme du fou
8908;Esquisse pour Marthe et Marie
8909;Peinture
8910;Peinture
9313;Etude
9314;Etude
9471;Etude en ton mineur
9639;Composition
9781;Le souvenir
9782;L'ensevelissement
3082;La robe bleue (portrait de Mlle Paulette Boisset)
3083;Entrée du Petit Trianon
3084;La Sablière
3085;Derniers rayons
3086;La corbeille
8184;Nature morte
8185;Chaland du bassin
7372;Tombeau de S. E. le Cardinal Andrieu (Modèle du gisant)
7373;Portrait (Buste)
7374;Portrait (Buste)
8412;Baptême
8570;Paysans au feu
1957;Coin de place
1958;Les reflets
1959;La prison du Masque de Fer
1960;Dedans et dehors
1961;Sospel
1773;Toulon
1774;Nature morte aux huîtres
3087;Nu couché
3088;Marine
3847;Reims
3848;Porquerolles
1775;Usine
1776;Grues
1777;Port
1778;Pluie
1779;Verdure
1780;Tristesse
1781;Laideur
3089;Grues
3090;Touraine
3091;Capulas
3092;Limancet
3093;Route
3094;Village
3095;Limeray
3096;Bar
3097;Bicoques
3098;Foire
3099;Vespasienne
8410;La Parisienne
5684;Potager
5685;L'Etang blanc
1125;Peinture
1126;Peinture
4510;La mariée
4511;Le vent
1782;Roses blanche et rouge au couteau
1783;Coquelicots au couteau
1784;Mimosa
1785;Œillets
1786;Soucis
1787;Marine. Nice au loin couhant
1788;Menton au loin
1789;Rue de Touët-de-Beuil
2501;Pont de Sospel (couteau)
2502;Rose (couteau)
2503;Anémones (couteau)
2504;Marine (Beaulieu)
2505;Mimosa (panier)
2506;Coquelicot (vase)
2507;Reine-marguerite
2508;Roses (gerbe)
422;Port de Cannes
423;Fenêtre
5090;La fenêtre
5091;Le labourage
1127;Intérieur
1128;Un nu
1129;Portrait
1130;Portrait
1131;Nu
3100;Dahlias
3101;Route de Provence
3102;Sous-bois
